"anocalendario"_"DataArquivamento"_"DataAbertura"_"regiao"_"UF"_"Tipo"_"CNAEPrincipal"_"DescCNAEPrincipal"_"Atendida"_"CodigoAssunto"_"DescricaoAssunto"_"CodigoProblema"_"DescricaoProblema"_"SexoConsumidor"_"FaixaEtariaConsumidor"_"CEPConsumidor"
2016_"2016-04-28 18:43:26.000"_"2008-10-06 15:39:00.000"_"Norte"_"TO"_1_"4753900"_"COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO"_"N"_135_"Venda a Domicílio / Reembolso Postal"_115_"Desistência de compra (cancelamento de compra)"_"N"_"Nao Informada"_"77020024"
2016_"2016-04-15 13:13:07.000"_"2010-01-06 12:21:33.000"_"Norte"_"TO"_1_"4753900"_"COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO"_"N"_105_"Artigo de Foto Imagem ( Filme, Ampliador, Luneta, Flash, Máquina Fotográfica, Binóculos, Etc. )"_107_"Não entrega/demora na entrega do produto"_"F"_"entre 21 a 30 anos"_"77600000"
2016_"2016-02-15 13:15:18.000"_"2010-01-18 15:45:36.000"_"Norte"_"TO"_1_"6422100"_"BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL"_"N"_53_"Banco comercial"_48_"Não entrega de copia do contrato"_"F"_"entre 41 a 50 anos"_"77019040"
2016_"2016-02-11 20:15:00.000"_"2010-01-18 17:38:46.000"_"Norte"_"TO"_1_"6422100"_"BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL"_"N"_53_"Banco comercial"_48_"Não entrega de copia do contrato"_"F"_"entre 41 a 50 anos"_"NULL"
2016_"2016-02-11 13:35:08.000"_"2010-06-10 18:09:20.000"_"Norte"_"TO"_1_"3514000"_"DISTRIBUIÇÃO DE ENERGIA ELÉTRICA"_"N"_185_"Energia Elétrica"_134_"Cobrança indevida/abusiva"_"M"_"entre 41 a 50 anos"_"77570000"
2016_"2016-02-19 10:38:53.000"_"2010-07-28 17:54:42.000"_"Norte"_"TO"_1_"4753900"_"COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO"_"N"_94_"Geladeira e Freezer"_107_"Não entrega/demora na entrega do produto"_"F"_"entre 31 a 40 anos"_"77270000"
2016_"2016-04-14 15:27:36.000"_"2010-08-02 17:17:31.000"_"Norte"_"TO"_1_"6120501"_"TELEFONIA MÓVEL CELULAR"_"N"_187_"Telefonia Celular"_134_"Cobrança indevida/abusiva"_"M"_"Nao Informada"_"77020172"
2016_"2016-06-28 10:35:26.000"_"2010-08-31 14:07:19.000"_"Norte"_"TO"_1_"6422100"_"BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL"_"N"_53_"Banco comercial"_27_"Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)"_"F"_"entre 31 a 40 anos"_"77019014"
2016_"2016-12-01 15:02:40.000"_"2015-01-14 12:29:36.000"_"Sul"_"SC"_1_"6143400"_"OPERADORAS DE TELEVISÃO POR ASSINATURA POR SATÉLITE"_"S"_259_"TV Por Assinatura ( Cabo, Satélite, Etc. )"_184_"Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)"_"M"_"entre 41 a 50 anos"_"89202005"
2016_"2016-04-14 12:50:45.000"_"2015-07-20 10:59:27.000"_"Sul"_"SC"_1_"6143400"_"OPERADORAS DE TELEVISÃO POR ASSINATURA POR SATÉLITE"_"N"_259_"TV Por Assinatura ( Cabo, Satélite, Etc. )"_194_"Cobrança indevida/abusiva"_"M"_"entre 21 a 30 anos"_"89228600"
2016_"2016-10-20 10:25:55.000"_"2015-09-15 10:18:54.000"_"Nordeste"_"MA"_1_"6143400"_"OPERADORAS DE TELEVISÃO POR ASSINATURA POR SATÉLITE"_"S"_259_"TV Por Assinatura ( Cabo, Satélite, Etc. )"_194_"Cobrança indevida/abusiva"_"F"_"entre 21 a 30 anos"_"NULL"
2016_"2016-12-13 11:36:56.000"_"2014-03-19 12:49:50.000"_"Centro-oeste"_"DF"_1_"6143400"_"OPERADORAS DE TELEVISÃO POR ASSINATURA POR SATÉLITE"_"S"_259_"TV Por Assinatura ( Cabo, Satélite, Etc. )"_185_"Serviço não concluído /Fornecimento parcial"_"M"_"entre 31 a 40 anos"_"73370100"
2016_"2016-02-22 12:20:37.000"_"2015-09-22 16:24:01.000"_"Centro-oeste"_"DF"_1_"6143400"_"OPERADORAS DE TELEVISÃO POR ASSINATURA POR SATÉLITE"_"S"_259_"TV Por Assinatura ( Cabo, Satélite, Etc. )"_194_"Cobrança indevida/abusiva"_"M"_"entre 61 a 70 anos"_"72110450"
2016_"2016-10-25 15:46:23.000"_"2014-12-29 12:58:09.000"_"Centro-oeste"_"MT"_1_"6143400"_"OPERADORAS DE TELEVISÃO POR ASSINATURA POR SATÉLITE"_"N"_259_"TV Por Assinatura ( Cabo, Satélite, Etc. )"_188_"Recusa injustificada em prestar serviço"_"M"_"entre 51 a 60 anos"_"78700000"
2016_"2016-04-26 10:06:06.000"_"2016-03-18 10:17:28.000"_"Nordeste"_"PB"_1_"6143400"_"OPERADORAS DE TELEVISÃO POR ASSINATURA POR SATÉLITE"_"S"_62_"Empresa de Cobrança"_28_"Cobrança indevida/abusiva"_"F"_"Nao Informada"_"58077340"
2016_"2016-04-19 12:38:05.000"_"2016-03-14 10:49:48.000"_"Nordeste"_"PB"_1_"6143400"_"OPERADORAS DE TELEVISÃO POR ASSINATURA POR SATÉLITE"_"S"_259_"TV Por Assinatura ( Cabo, Satélite, Etc. )"_255_"SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)"_"M"_"entre 51 a 60 anos"_"58070400"
2016_"2016-05-03 10:47:59.000"_"2016-04-20 09:58:12.000"_"Nordeste"_"PB"_1_"6143400"_"OPERADORAS DE TELEVISÃO POR ASSINATURA POR SATÉLITE"_"S"_259_"TV Por Assinatura ( Cabo, Satélite, Etc. )"_254_"SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)"_"F"_"mais de 70 anos"_"NULL"
2016_"2016-11-09 17:15:54.000"_"2016-08-03 13:59:25.000"_"Nordeste"_"BA"_1_"6143400"_"OPERADORAS DE TELEVISÃO POR ASSINATURA POR SATÉLITE"_"S"_259_"TV Por Assinatura ( Cabo, Satélite, Etc. )"_194_"Cobrança indevida/abusiva"_"M"_"entre 41 a 50 anos"_"46970000"
